Unnamed: 0,Code,Job Title,Keywords,Description
,3112.01,"Overseer, Civil Engineering","civil, design, development, engineering, overseer, project, systems","A Overseer, civil engineering is responsible for tasks related to overseer, civil engineering, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3112.02,Permanent Way Inspector,"inspector, permanent, way","A Permanent way inspector is responsible for tasks related to permanent way inspector, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3112.03,Plain Tabler,"plain, tabler","A Plain tabler is responsible for tasks related to plain tabler, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3112.04,Topographical Auxiliary,"auxiliary, topographical","A Topographical auxiliary is responsible for tasks related to topographical auxiliary, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3112.05,Computer Topographical,"computer, topographical","A Computer topographical is responsible for tasks related to computer topographical, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3112.06,"Surveyor, Tidal","surveyor, tidal","A Surveyor, tidal is responsible for tasks related to surveyor, tidal, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3112.0701,Assistant Laboratory and Field Technician,"assistant, field, laboratory, technician","A Assistant laboratory and field technician is responsible for tasks related to assistant laboratory and field technician, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3112.99,"Civil Engineering Technicians, Other","civil, design, development, engineering, project, systems, technicians","A Civil engineering technicians, other is responsible for tasks related to civil engineering technicians, other, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
Family,3113.0,Electrical Engineering Technicians,"design, development, electrical, engineering, project, systems, technicians","A Electrical engineering technicians is responsible for tasks related to electrical engineering technicians, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3113.0101,"Electrical Engineering, 
Technician/Maintenance Technician 
Electrical","design, development, electrical, engineering, project, systems, technician, technicianmaintenance","A Electrical engineering, 
technician/maintenance technician 
electrical is responsible for tasks related to electrical engineering, 
technician/maintenance technician 
electrical, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3113.0102,Maintenance Technician Electrical,"electrical, maintenance, technician","A Maintenance technician electrical is responsible for tasks related to maintenance technician electrical, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3113.0111,"Technician Furnace Transformers: Ferro 
Alloys","alloys, ferro, furnace, technician, transformers","A Technician furnace transformers: ferro 
alloys is responsible for tasks related to technician furnace transformers: ferro 
alloys, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3113.02,Electrical Technician (High Voltage),"electrical, high, technician, voltage","A Electrical technician (high voltage) is responsible for tasks related to electrical technician (high voltage), typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3113.03,Energy Auditor,"auditor, energy","A Energy auditor is responsible for tasks related to energy auditor, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3113.0401,Machine Maintenance Technician,"machine, maintenance, technician","A Machine maintenance technician is responsible for tasks related to machine maintenance technician, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3113.0501,Maintenance Executive,"executive, maintenance","A Maintenance executive is responsible for tasks related to maintenance executive, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3113.0601,Maintenance Technician,"maintenance, technician","A Maintenance technician is responsible for tasks related to maintenance technician, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3113.0701,Customer Inspection Technician,"customer, inspection, technician","A Customer inspection technician is responsible for tasks related to customer inspection technician, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3113.0801,In-Process and Final Quality Engineer,"design, development, engineer, final, inprocess, project, quality, systems","A In-process and final quality engineer is responsible for tasks related to in-process and final quality engineer, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3113.0802,Final Testing Technician,"final, technician, testing","A Final testing technician is responsible for tasks related to final testing technician, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3113.0803,"Automated Optical Inspection Machine 
Operator","automated, inspection, machine, operator, optical","A Automated optical inspection machine 
operator is responsible for tasks related to automated optical inspection machine 
operator, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3113.0901,Cluster In-Charge,"cluster, incharge","A Cluster in-charge is responsible for tasks related to cluster in-charge, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3113.1001,LED Luminaries Testing and Measurement,"led, luminaries, measurement, testing","A Led luminaries testing and measurement is responsible for tasks related to led luminaries testing and measurement, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3113.1002,LED Light Repair Technician,"led, light, repair, technician","A Led light repair technician is responsible for tasks related to led light repair technician, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3113.99,"Electrical Technicians, Other","electrical, technicians","A Electrical technicians, other is responsible for tasks related to electrical technicians, other, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
Family,3114.0,Electronics Engineering Technicians,"design, development, electronics, engineering, project, systems, technicians","A Electronics engineering technicians is responsible for tasks related to electronics engineering technicians, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3114.01,Electronics Technician,"electronics, technician","A Electronics technician is responsible for tasks related to electronics technician, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3114.02,"Television Chassis Inspector/Television 
Technician","chassis, inspectortelevision, technician, television","A Television chassis inspector/television 
technician is responsible for tasks related to television chassis inspector/television 
technician, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3114.0601,BSS Support Engineer,"bss, design, development, engineer, project, support, systems","A Bss support engineer is responsible for tasks related to bss support engineer, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3114.0701,Field Maintenance Engineer,"design, development, engineer, field, maintenance, project, systems","A Field maintenance engineer is responsible for tasks related to field maintenance engineer, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3114.0801,ICT Engineer,"design, development, engineer, ict, project, systems","A Ict engineer is responsible for tasks related to ict engineer, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3114.0802,ICT Technician,"ict, technician","A Ict technician is responsible for tasks related to ict technician, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3114.0804,Broadband Technician,"broadband, technician","A Broadband technician is responsible for tasks related to broadband technician, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3114.0901,Installation Engineer – L2 & L3,"design, development, engineer, installation, l2, l3, project, systems","A Installation engineer – l2 & l3 is responsible for tasks related to installation engineer – l2 & l3, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3114.0902,"Installation Engineer Installation Engineer 
– SDH & DWDM","design, development, dwdm, engineer, installation, project, sdh, systems","A Installation engineer installation engineer 
– sdh & dwdm is responsible for tasks related to installation engineer installation engineer 
– sdh & dwdm, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3114.1101,Product Specialist Engineer,"design, development, engineer, product, project, specialist, systems","A Product specialist engineer is responsible for tasks related to product specialist engineer, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3114.1201,Transmission Engineer,"design, development, engineer, project, systems, transmission","A Transmission engineer is responsible for tasks related to transmission engineer, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3114.1301,Network Management Engineer,"design, development, engineer, management, network, project, systems","A Network management engineer is responsible for tasks related to network management engineer, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3114.99,"Electronics and Telecommunications 
Engineering Technicians, Other","design, development, electronics, engineering, project, systems, technicians, telecommunications","A Electronics and telecommunications 
engineering technicians, other is responsible for tasks related to electronics and telecommunications 
engineering technicians, other, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
Family,3115.0,Mechanical Engineering Technicians,"design, development, engineering, machines, maintenance, mechanical, project, repair, systems, technicians, tools","A Mechanical engineering technicians is responsible for tasks related to mechanical engineering technicians, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3115.0101,"Mechanical Engineering 
Technician/Supervisor R&D Testing","design, development, engineering, machines, maintenance, mechanical, project, rd, repair, systems, techniciansupervisor, testing, tools","A Mechanical engineering 
technician/supervisor r&d testing is responsible for tasks related to mechanical engineering 
technician/supervisor r&d testing, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3115.0102,Maintenance Technician – Mechanical,"machines, maintenance, mechanical, repair, technician, tools","A Maintenance technician – mechanical is responsible for tasks related to maintenance technician – mechanical, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3115.0103,"Maintenance Technician Assistant – 
Mechanical","assistant, machines, maintenance, mechanical, repair, technician, tools","A Maintenance technician assistant – 
mechanical is responsible for tasks related to maintenance technician assistant – 
mechanical, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3115.0104,Body Shop In-Charge,"body, incharge, shop","A Body shop in-charge is responsible for tasks related to body shop in-charge, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3115.0105,Workshop Manager,"manager, workshop","A Workshop manager is responsible for tasks related to workshop manager, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3115.0201,"Automotive Engineering 
Technician/Testing Manager","automotive, design, development, engineering, manager, project, systems, techniciantesting","A Automotive engineering 
technician/testing manager is responsible for tasks related to automotive engineering 
technician/testing manager, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3115.0202,Test Engineer Product/Vehicle,"design, development, engineer, productvehicle, project, systems, test","A Test engineer product/vehicle is responsible for tasks related to test engineer product/vehicle, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3115.0301,"Executive, Proto Manufacturing","executive, manufacturing, proto","A Executive, proto manufacturing is responsible for tasks related to executive, proto manufacturing, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3115.0401,Method Study Executive,"executive, method, study","A Method study executive is responsible for tasks related to method study executive, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3115.0501,"Manager Maintenance Mechanical & 
Electrical","electrical, machines, maintenance, manager, mechanical, repair, tools","A Manager maintenance mechanical & 
electrical is responsible for tasks related to manager maintenance mechanical & 
electrical, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3115.0601,"Master Auto Service Technician/Auto 
Service Technician","auto, master, service, technician, technicianauto","A Master auto service technician/auto 
service technician is responsible for tasks related to master auto service technician/auto 
service technician, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3115.0602,"Auto Service Technical Manager/Auto 
Service Technician","auto, managerauto, service, technical, technician","A Auto service technical manager/auto 
service technician is responsible for tasks related to auto service technical manager/auto 
service technician, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3115.1,Aeronautical Engineering Technician,"aeronautical, design, development, engineering, project, systems, technician","A Aeronautical engineering technician is responsible for tasks related to aeronautical engineering technician, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3115.11,"Heating, Ventilation and Refrigeration 
Engineering Technician","design, development, engineering, heating, project, refrigeration, systems, technician, ventilation","A Heating, ventilation and refrigeration 
engineering technician is responsible for tasks related to heating, ventilation and refrigeration 
engineering technician, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3115.12,Die Designer,"designer, die","A Die designer is responsible for tasks related to die designer, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3115.1301,Tool Designer,"designer, tool","A Tool designer is responsible for tasks related to tool designer, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3115.1302,Tool Room Supervisor,"room, supervisor, tool","A Tool room supervisor is responsible for tasks related to tool room supervisor, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3115.14,Loco Foreman,"foreman, loco","A Loco foreman is responsible for tasks related to loco foreman, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3115.15,"Yard Foreman, Railway","foreman, railway, yard","A Yard foreman, railway is responsible for tasks related to yard foreman, railway, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3115.16,Train Examiner,"examiner, train","A Train examiner is responsible for tasks related to train examiner, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3115.99,"Mechanical Engineering Technicians, 
Other","design, development, engineering, machines, maintenance, mechanical, project, repair, systems, technicians, tools","A Mechanical engineering technicians, 
other is responsible for tasks related to mechanical engineering technicians, 
other, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
Family,3116.0,Chemical Engineering Technicians,"chemical, design, development, engineering, project, systems, technicians","A Chemical engineering technicians is responsible for tasks related to chemical engineering technicians, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3116.01,"Laboratory Assistant, Glass and Ceramics","assistant, ceramics, glass, laboratory","A Laboratory assistant, glass and ceramics is responsible for tasks related to laboratory assistant, glass and ceramics, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3116.02,"Laboratory Assistant, Food & Beverages/ 
Chemist/ Analytical Supervisor/Lab 
Chemist","analytical, assistant, beverages, chemist, food, laboratory, supervisorlab","A Laboratory assistant, food & beverages/ 
chemist/ analytical supervisor/lab 
chemist is responsible for tasks related to laboratory assistant, food & beverages/ 
chemist/ analytical supervisor/lab 
chemist, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3116.03,"Laboratory Assistant, Chemical 
Engineering General","assistant, chemical, design, development, engineering, general, laboratory, project, systems","A Laboratory assistant, chemical 
engineering general is responsible for tasks related to laboratory assistant, chemical 
engineering general, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3116.04,"Core Analyst, Petrol and Natural Gas","analyst, core, data, gas, insights, natural, petrol, report, statistics","A Core analyst, petrol and natural gas is responsible for tasks related to core analyst, petrol and natural gas, typically working in data analysis and decision-making, ensuring accuracy, performance, and compliance."
,3116.05,"Laboratory Assistant, Petroleum and 
Lubricants","assistant, laboratory, lubricants, petroleum","A Laboratory assistant, petroleum and 
lubricants is responsible for tasks related to laboratory assistant, petroleum and 
lubricants, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3116.06,"Chemist, Water Purification/Water 
Treatment","chemist, purificationwater, treatment, water","A Chemist, water purification/water 
treatment is responsible for tasks related to chemist, water purification/water 
treatment, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3116.99,"Chemical Engineering Technicians, 
Other/Chemical Process Technicians","chemical, design, development, engineering, otherchemical, process, project, systems, technicians","A Chemical engineering technicians, 
other/chemical process technicians is responsible for tasks related to chemical engineering technicians, 
other/chemical process technicians, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
Family,3117.0,Mining and Metallurgical Technicians,"metallurgical, mining, technicians","A Mining and metallurgical technicians is responsible for tasks related to mining and metallurgical technicians, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3117.01,Rock Slicer,"rock, slicer","A Rock slicer is responsible for tasks related to rock slicer, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3117.02,"Petroleum and Natural Gas Extraction 
Technician","extraction, gas, natural, petroleum, technician","A Petroleum and natural gas extraction 
technician is responsible for tasks related to petroleum and natural gas extraction 
technician, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3117.03,"Laboratory Assistant, Metallurgical","assistant, laboratory, metallurgical","A Laboratory assistant, metallurgical is responsible for tasks related to laboratory assistant, metallurgical, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3117.99,"Mining and Metallurgical Technicians, 
Other","metallurgical, mining, technicians","A Mining and metallurgical technicians, 
other is responsible for tasks related to mining and metallurgical technicians, 
other, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
Family,3118.0,Draughtpersons,draughtpersons,"A Draughtpersons is responsible for tasks related to draughtpersons, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3118.01,"Draughtperson, Architectural","architectural, draughtperson","A Draughtperson, architectural is responsible for tasks related to draughtperson, architectural, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3118.02,"Draughtperson, Civil","civil, draughtperson","A Draughtperson, civil is responsible for tasks related to draughtperson, civil, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3118.0201,Plumbing Draftsman,"draftsman, plumbing","A Plumbing draftsman is responsible for tasks related to plumbing draftsman, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3118.03,"Draughtperson, Electrical","draughtperson, electrical","A Draughtperson, electrical is responsible for tasks related to draughtperson, electrical, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3118.0301,Draftsman,draftsman,"A Draftsman is responsible for tasks related to draftsman, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3118.0302,Physical Design Engineer,"design, development, engineer, physical, project, systems","A Physical design engineer is responsible for tasks related to physical design engineer, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3118.0401,"Draughtperson, Mechanical","draughtperson, machines, maintenance, mechanical, repair, tools","A Draughtperson, mechanical is responsible for tasks related to draughtperson, mechanical, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3118.0402,Draughtsman – Mechanical,"draughtsman, machines, maintenance, mechanical, repair, tools","A Draughtsman – mechanical is responsible for tasks related to draughtsman – mechanical, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3118.05,"Draughtperson, Structural","draughtperson, structural","A Draughtperson, structural is responsible for tasks related to draughtperson, structural, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3118.06,"Draughtperson, Topographical","draughtperson, topographical","A Draughtperson, topographical is responsible for tasks related to draughtperson, topographical, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3118.07,Lithographic Designer,"designer, lithographic","A Lithographic designer is responsible for tasks related to lithographic designer, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3118.08,Tracer,tracer,"A Tracer is responsible for tasks related to tracer, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3118.09,Blue Printer,"blue, printer","A Blue printer is responsible for tasks related to blue printer, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3118.99,"Draughtpersons, Other",draughtpersons,"A Draughtpersons, other is responsible for tasks related to draughtpersons, other, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Family,3119.0,"Physical and Engineering Science 
Technicians Not Elsewhere Classified","classified, design, development, engineering, physical, project, science, systems, technicians","A Physical and engineering science 
technicians not elsewhere classified is responsible for tasks related to physical and engineering science 
technicians not elsewhere classified, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3119.01,"Laboratory Assistant, Engineering","assistant, design, development, engineering, laboratory, project, systems","A Laboratory assistant, engineering is responsible for tasks related to laboratory assistant, engineering, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3119.02,Forensic Science Technician,"forensic, science, technician","A Forensic science technician is responsible for tasks related to forensic science technician, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3119.03,Fingerprint Expert,"expert, fingerprint","A Fingerprint expert is responsible for tasks related to fingerprint expert, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3119.04,Handwriting Expert,"expert, handwriting","A Handwriting expert is responsible for tasks related to handwriting expert, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3119.05,Impression Taker,"impression, taker","A Impression taker is responsible for tasks related to impression taker, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3119.06,Weather Observer,"observer, weather","A Weather observer is responsible for tasks related to weather observer, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3119.07,"Methods, Time and Motion Study 
Technician","methods, motion, study, technician, time","A Methods, time and motion study 
technician is responsible for tasks related to methods, time and motion study 
technician, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3119.08,Fire Prevention Officer,"officer, prevention","A Fire prevention officer is responsible for tasks related to fire prevention officer, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3119.09,Fire Officer,officer,"A Fire officer is responsible for tasks related to fire officer, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3119.1,"Fire Inspectors, Other",inspectors,"A Fire inspectors, other is responsible for tasks related to fire inspectors, other, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3119.11,Laser Technician,"laser, technician","A Laser technician is responsible for tasks related to laser technician, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3119.99,"Optical and Electronic Equipment 
Controllers, Other","controllers, electronic, equipment, optical","A Optical and electronic equipment 
controllers, other is responsible for tasks related to optical and electronic equipment 
controllers, other, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Group,312.0,"Mining, Manufacturing and Construction 
Supervisors","construction, manufacturing, mining, supervisors","A Mining, manufacturing and construction 
supervisors is responsible for tasks related to mining, manufacturing and construction 
supervisors, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Family,3121.0,Mining Supervisors,"mining, supervisors","A Mining supervisors is responsible for tasks related to mining supervisors, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3121.01,"Supervisor and Foreman, Mining and 
Quarrying","foreman, mining, quarrying, supervisor","A Supervisor and foreman, mining and 
quarrying is responsible for tasks related to supervisor and foreman, mining and 
quarrying, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3121.02,"Supervisor and Foreman, Well Drilling","drilling, foreman, supervisor","A Supervisor and foreman, well drilling is responsible for tasks related to supervisor and foreman, well drilling, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3121.03,"Supervisor and Foreman, Mineral 
Treating","foreman, mineral, supervisor, treating","A Supervisor and foreman, mineral 
treating is responsible for tasks related to supervisor and foreman, mineral 
treating, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3121.04,"Overman, Colliery","colliery, overman","A Overman, colliery is responsible for tasks related to overman, colliery, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3121.05,"Sirdar, Colliery","colliery, sirdar","A Sirdar, colliery is responsible for tasks related to sirdar, colliery, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3121.06,Mud Supervisor,"mud, supervisor","A Mud supervisor is responsible for tasks related to mud supervisor, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3121.07,Well Pulling Supervisor,"pulling, supervisor","A Well pulling supervisor is responsible for tasks related to well pulling supervisor, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3121.08,Gas Supervisor,"gas, supervisor","A Gas supervisor is responsible for tasks related to gas supervisor, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3121.99,"Supervisors and Foremen in Mining and 
Mineral Processing Plant Operation 
Activities, Other","activities, foremen, mineral, mining, operation, plant, processing, supervisors","A Supervisors and foremen in mining and 
mineral processing plant operation 
activities, other is responsible for tasks related to supervisors and foremen in mining and 
mineral processing plant operation 
activities, other, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Family,3122.0,Manufacturing Supervisors,"manufacturing, supervisors","A Manufacturing supervisors is responsible for tasks related to manufacturing supervisors, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3122.01,"Supervisors and Foremen, Metal Making, 
Converting and Refining","converting, foremen, making, metal, refining, supervisors","A Supervisors and foremen, metal making, 
converting and refining is responsible for tasks related to supervisors and foremen, metal making, 
converting and refining, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3122.02,"Foreman, Blast Furnace","blast, foreman, furnace","A Foreman, blast furnace is responsible for tasks related to foreman, blast furnace, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3122.03,Stock House Foreman,"foreman, house, stock","A Stock house foreman is responsible for tasks related to stock house foreman, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3122.04,"Supervisor and Foreman, Metal Treating","foreman, metal, supervisor, treating","A Supervisor and foreman, metal treating is responsible for tasks related to supervisor and foreman, metal treating, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3122.05,"Supervisor and Foreman, Metal Drawing 
and Extruding","drawing, extruding, foreman, metal, supervisor","A Supervisor and foreman, metal drawing 
and extruding is responsible for tasks related to supervisor and foreman, metal drawing 
and extruding, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3122.0601,Assembly Line Supervisor,"assembly, line, supervisor","A Assembly line supervisor is responsible for tasks related to assembly line supervisor, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3122.08,"Supervisor and Foreman, Glass Forming 
and Related Activities","activities, foreman, forming, glass, related, supervisor","A Supervisor and foreman, glass forming 
and related activities is responsible for tasks related to supervisor and foreman, glass forming 
and related activities, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3122.09,"Supervisor and Foreman, Ceramics and","ceramics, foreman, supervisor","A Supervisor and foreman, ceramics and is responsible for tasks related to supervisor and foreman, ceramics and, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,,Related Activities,"activities, related","A Related activities is responsible for tasks related to related activities, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3122.1,"Supervisor and Foreman, Wood 
Preparation and Papermaking","foreman, papermaking, preparation, supervisor, wood","A Supervisor and foreman, wood 
preparation and papermaking is responsible for tasks related to supervisor and foreman, wood 
preparation and papermaking, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3122.11,"Supervisor and Foreman, Paper Pulp and 
Papermaking","foreman, paper, papermaking, pulp, supervisor","A Supervisor and foreman, paper pulp and 
papermaking is responsible for tasks related to supervisor and foreman, paper pulp and 
papermaking, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3122.13,"Supervisor and Foreman, Chemical 
Processing and Related Activities","activities, chemical, foreman, processing, related, supervisor","A Supervisor and foreman, chemical 
processing and related activities is responsible for tasks related to supervisor and foreman, chemical 
processing and related activities, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3122.14,"Supervisor and Foreman, Petroleum 
Refining and Related 
Activities/Operator/Engineering Assistant 
(Mechanical/Electrical/Civil/Chemical) 
Related Activities","activities, activitiesoperatorengineering, assistant, design, development, foreman, machines, maintenance, mechanicalelectricalcivilchemical, petroleum, project, refining, related, repair, supervisor, systems, tools","A Supervisor and foreman, petroleum 
refining and related 
activities/operator/engineering assistant 
(mechanical/electrical/civil/chemical) 
related activities is responsible for tasks related to supervisor and foreman, petroleum 
refining and related 
activities/operator/engineering assistant 
(mechanical/electrical/civil/chemical) 
related activities, typically working in technical operations and engineering, ensuring accuracy, performance, and compliance."
,3122.16,Boiler Supervisor,"boiler, supervisor","A Boiler supervisor is responsible for tasks related to boiler supervisor, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3122.17,"Supervisors and Foremen, Stationary 
Engine and Related Equipment","engine, equipment, foremen, related, stationary, supervisors","A Supervisors and foremen, stationary 
engine and related equipment is responsible for tasks related to supervisors and foremen, stationary 
engine and related equipment, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3122.18,"Supervisor and Foreman, Stone Cutting 
and Carving","carving, cutting, foreman, stone, supervisor","A Supervisor and foreman, stone cutting 
and carving is responsible for tasks related to supervisor and foreman, stone cutting 
and carving, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3122.19,"Supervisor and Foreman, Machine Tool 
Operations","foreman, machine, operations, supervisor, tool","A Supervisor and foreman, machine tool 
operations is responsible for tasks related to supervisor and foreman, machine tool 
operations, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3122.2,"Supervisor and Foreman, Rubber Goods 
Making","foreman, goods, making, rubber, supervisor","A Supervisor and foreman, rubber goods 
making is responsible for tasks related to supervisor and foreman, rubber goods 
making, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,3122.21,"Supervisor and Foreman, Plastic Products 
Making","foreman, making, plastic, products, supervisor","A Supervisor and foreman, plastic products 
making is responsible for tasks related to supervisor and foreman, plastic products 
making, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
